,Drug_ID,Drug,Y
0,TOX3021,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,0.0
1,TOX3020,CCN1C(=O)NC(c2ccccc2)C1=O,0.0
2,TOX3027,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,0.0
3,TOX20800,CC(O)(P(=O)(O)O)P(=O)(O)O,0.0
4,TOX5110,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,0.0
5,TOX6619,O=S(=O)(Cl)c1ccccc1,0.0
6,TOX25232,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,0.0
7,TOX22514,OC[C@H](O)[C@@H](O)[C@H](O)CO,0.0
8,TOX25236,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,0.0
9,TOX25238,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,0.0
10,TOX6612,CC(C)COC(=O)C(C)C,0.0
11,TOX6615,C=C(C)C(=O)OCCOC(=O)C(=C)C,0.0
12,TOX15748,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,0.0
13,TOX14833,O=C([O-])Cc1cccc2ccccc12,0.0
14,TOX26529,CCCCCCCCCCOCC(O)CN,0.0
15,TOX26524,CCN(CC)C(=O)c1cccnc1,0.0
16,TOX26525,COc1cc(O)cc(O)c1,0.0
17,TOX26521,CCOc1ccc(S(=O)(=O)O)c2cccnc12,0.0
18,TOX26523,O=C(O)[C@H](O)c1ccccc1,0.0
19,TOX4460,Nc1ccc(/N=N/c2ccccc2)cc1,0.0
20,TOX22631,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,0.0
21,TOX22632,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,0.0
22,TOX22633,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0.0
23,TOX1883,C#CCO,0.0
24,TOX4463,Nc1ccccc1S(=O)(=O)O,0.0
25,TOX1885,CC(O)CC(C)(C)O,0.0
26,TOX1886,CC(C)(C)CC(C)(C)N,0.0
27,TOX1889,CC(=O)CC(C)C,0.0
28,TOX1888,CCCC(C)=O,0.0
29,TOX4465,Nc1nc2ccccc2[nH]1,0.0
30,TOX1106,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.0
31,TOX161,c1ccc(-c2ccccc2)cc1,0.0
32,TOX22180,CNC(=O)Nc1ccc(Cl)c(Cl)c1,0.0
33,TOX22181,CC(=O)Nc1ccc(C)c(Cl)c1,0.0
34,TOX22187,CCCCNC(=S)NCCCC,0.0
35,TOX22188,CCCCNC(=O)NCCCC,0.0
36,TOX22189,CC(C)N(c1ccccc1)C(C)C,0.0
37,TOX7876,CCc1cccc(C)c1,0.0
38,TOX7877,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,0.0
39,TOX7875,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,0.0
40,TOX7870,CCCCCCCCCCC=CC1CC(=O)OC1=O,0.0
41,TOX4110,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.0
