,Drug_ID,Drug,Y
0,Drug 0,O=[N+]([O-])c1ccc(Cl)cc1,0.0
1,Drug 3,Nc1ccc([N+](=O)[O-])cc1,1.0
2,Drug 4,O=[N+]([O-])c1ccc(O)cc1,0.0
3,Drug 11,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,0.0
4,Drug 15,O=C(O)c1ccc(C(=O)O)cc1,0.0
5,Drug 22,Cl[Dy](Cl)Cl,0.0
6,Drug 38,CCN(CC)CCO,0.0
7,Drug 45,CCCCCC(CO)CCC,0.0
8,Drug 46,OB(O)O,0.0
9,Drug 55,OCc1ccccc1,0.0
10,Drug 59,N#Cc1cccnc1,0.0
11,Drug 65,ON=C1CCCCC1,0.0
12,Drug 71,CCNc1nc(N)nc(Cl)n1,0.0
13,Drug 77,CC(C)(c1ccccc1)c1ccc(Nc2ccc(C(C)(C)c3ccccc3)cc2)cc1,0.0
14,Drug 81,O=Cc1ccccc1S(=O)(=O)[O-].[Na+],0.0
15,Drug 83,CCCC(=O)OC(C)(C)Cc1ccccc1,0.0
16,Drug 85,C1N2CN3CN1CN(C2)C3,0.0
17,Drug 89,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,0.0
18,Drug 92,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,0.0
19,Drug 94,CC(Oc1cccc(Cl)c1)C(=O)O,0.0
20,Drug 101,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,1.0
21,Drug 102,CC(C)OC(=O)Nc1cccc(Cl)c1,1.0
22,Drug 107,C=CCOc1nc(OCC=C)nc(OCC=C)n1,0.0
23,Drug 111,CN(C)C(=O)Nc1ccccc1,0.0
24,Drug 112,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Oc2ccc(C(F)(F)F)cc2Cl)cc1F,0.0
25,Drug 120,Nc1ccc(Nc2ccccc2)cc1,0.0
26,Drug 121,Brc1ccc(Oc2ccccc2)cc1,0.0
27,Drug 122,CN(C)c1ccc(Cc2ccc(N(C)C)cc2)cc1,0.0
28,Drug 123,C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O,0.0
29,Drug 132,Nc1ccc(Cc2ccc(N)cc2)cc1,0.0
30,Drug 134,Nc1ccc(Oc2ccc(N)cc2)cc1,0.0
31,Drug 135,c1ccc(Cc2ccccc2)cc1,0.0
32,Drug 139,C1CCC(NC2CCCCC2)CC1,0.0
33,Drug 140,c1ccc(Oc2ccccc2)cc1,0.0
34,Drug 142,CCCCCCC(C=O)=Cc1ccccc1,1.0
35,Drug 153,N=C(Nc1ccccc1)Nc1ccccc1,1.0
36,Drug 164,N#CC(Br)(Br)C(N)=O,0.0
37,Drug 166,CCNc1cccc(C)c1,0.0
38,Drug 174,ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl,1.0
39,Drug 180,CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O,0.0
40,Drug 183,COP(N)(=O)SC,0.0
41,Drug 184,Cl.N#Cc1ccc(C2CCCc3cncn32)cc1,0.0
42,Drug 187,OCCN(CCO)CCO,0.0
43,Drug 188,CC(=O)OCC(COC(C)=O)OC(C)=O,0.0
44,Drug 195,CCCCN(CCCC)CCCC,0.0
45,Drug 204,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,1.0
46,Drug 206,CCCCC(CC)COC(C)=O,0.0
47,Drug 208,O=S1(=O)OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,1.0
48,Drug 210,C=CC(=O)OCC(CC)CCCC,0.0
49,Drug 216,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,0.0
50,Drug 218,CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC,0.0
51,Drug 228,c1ccc(N=Nc2ccccc2)cc1,0.0
52,Drug 229,C1CN(SSN2CCOCC2)CCO1,1.0
53,Drug 230,C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21,0.0
54,Drug 237,CCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,1.0
55,Drug 238,O=C(C=Cc1ccccc1)OCc1ccccc1,1.0
56,Drug 259,CCCc1ccccc1,0.0
57,Drug 260,CCNc1ccccc1,0.0
58,Drug 266,OCCN1CCNCC1,0.0
59,Drug 281,CC(=O)Nc1ccc(O)cc1,0.0
60,Drug 293,Cc1cnc(C2=NC(=O)C(C)(C(C)C)N2)c(C(=O)O)c1,0.0
61,Drug 295,CCCCc1ccc(N)cc1,0.0
62,Drug 303,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,0.0
63,Drug 316,CCCCCCCCCc1ccc(O)cc1,1.0
64,Drug 317,CCCCCCCCCCCCc1ccc(O)cc1,1.0
65,Drug 318,CCCc1ccc(OC)cc1,0.0
66,Drug 322,CCCCc1ccccc1,0.0
67,Drug 324,CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,1.0
68,Drug 325,OCC=Cc1ccccc1,0.0
69,Drug 328,CCCCCC1CCC(=O)O1,0.0
